ID,Time,Pickup,Dropoff,Duration,Fare
R648,64,28,32,9,13.0
R698,64,76,19,21,36.9
R684,64,32,32,3,8.5
R647,64,32,8,3,8.5
R718,64,8,8,6,7.0
R649,64,8,8,3,4.5
R675,64,8,8,5,7.5
R706,64,8,8,3,7.0
R650,64,32,8,7,7.75
R677,65,32,33,8,8.25
R734,65,8,24,9,15.4
R720,65,76,76,29,41.75
R680,65,28,32,9,11.75
R744,65,22,22,5,6.0
R732,65,24,7,9,10.25
R662,65,28,24,14,12.51
R745,65,8,33,7,10.5
R658,66,76,11,12,27.08
R707,66,8,8,9,8.5
R739,66,32,8,10,11.0
R748,66,32,28,5,8.5
R702,67,24,19,26,23.75
R697,67,32,32,1,5.25
R742,67,6,3,11,6.0
R687,67,8,7,10,9.75
R659,67,8,32,10,14.25
R692,67,6,6,1,4.5
R657,67,56,56,13,18.25
R685,67,28,6,14,22.6
R682,67,8,8,4,9.5
R669,67,8,8,4,5.75
R645,67,33,32,9,8.25
R651,68,32,24,11,14.5
R705,68,32,8,4,8.75
R736,68,8,7,10,10.25
R700,68,8,32,1,4.0
R740,68,33,28,10,11.25
R667,68,8,24,12,18.3
R673,68,1,1,3,5.5
R674,68,8,33,10,17.5
R704,68,77,3,3,6.5
R665,68,8,8,2,4.0
R653,69,8,7,8,10.25
R733,69,8,22,7,13.0
R701,69,8,32,6,7.5
R738,69,32,8,4,8.0
R688,69,22,21,8,8.75
R681,69,8,8,7,9.0
R717,70,8,7,8,10.25
R655,70,8,8,6,5.25
R660,70,11,15,3,5.5
R709,70,32,7,12,12.1
R716,71,8,7,9,12.7
R713,71,8,32,5,10.5
R746,71,32,22,15,22.6
R747,71,32,32,5,9.75
R690,71,6,14,17,14.75
R676,71,5,6,12,10.75
R724,71,8,33,10,17.9
R743,71,8,8,4,9.25
R710,72,8,8,2,5.0
R722,72,8,32,16,20.8
R668,72,28,8,7,10.75
R703,72,2,2,3,5.75
R699,72,8,8,4,5.0
R695,72,58,58,2,50.0
R666,72,8,8,3,4.75
R721,73,56,15,25,45.0
R715,73,11,15,3,5.0
R678,73,11,11,4,6.0
R708,73,32,24,11,16.9
R686,73,56,32,20,38.75
R652,74,32,7,13,16.0
R731,74,32,8,5,8.5
R696,74,76,23,21,37.75
R786,75,8,8,9,10.0
R817,75,8,8,1,3.25
R787,75,32,28,4,13.25
R812,75,76,16,17,33.75
R756,75,8,7,8,8.5
R670,75,8,8,2,4.0
R693,75,8,8,6,11.0
R741,75,8,8,3,4.5
R843,75,8,6,9,15.0
R820,76,3,3,2,3.5
R831,76,7,32,12,15.75
R810,76,6,24,18,18.0
R811,76,76,8,28,57.7
R818,76,8,8,7,11.25
R840,76,32,8,6,13.25
R773,76,32,34,8,11.0
R833,77,32,32,5,8.75
R771,77,76,22,20,45.5
R784,77,8,8,4,5.0
R764,77,32,32,2,8.25
R766,77,8,8,5,8.75
R832,77,8,16,13,21.0
R822,78,8,8,6,6.0
R789,78,35,35,1,3.25
R761,78,32,6,12,20.4
R749,78,8,8,3,5.5
R815,79,32,8,9,7.75
R829,79,8,8,6,6.0
R835,79,28,32,9,8.25
R821,79,76,6,20,43.5
R776,79,28,32,3,6.75
R753,79,21,22,4,6.0
R795,79,8,8,3,5.5
R819,79,22,16,11,18.25
R824,80,28,28,2,8.25
R813,80,33,35,11,10.75
R804,80,8,32,6,13.25
R798,80,76,31,24,51.5
R800,80,8,33,7,8.75
R779,80,8,8,4,9.75
R807,81,3,3,2,4.25
R790,81,32,7,9,9.25
R839,81,2,2,4,5.0
R803,81,76,76,1,3.5
R785,81,8,24,7,14.1
R828,81,76,2,23,36.5
R836,81,8,32,8,8.25
R838,81,8,24,11,13.9
R782,82,16,8,20,19.5
