ID,Time,Pickup,Dropoff,Duration,Fare
R924,30,28,8,9,6.5
R336,30,8,32,6,7.0
R242,30,8,8,2,4.25
R297,30,32,32,5,6.25
R353,30,8,32,7,10.5
R504,30,8,32,11,8.5
R515,30,28,32,2,4.25
R285,30,32,32,5,8.25
R295,30,8,28,9,11.0
R311,30,28,8,11,11.0
R364,30,32,32,4,5.0
R382,30,8,8,3,5.5
R531,30,8,32,6,9.25
R463,30,32,32,7,10.0
R252,30,32,8,13,9.75
R399,30,32,33,9,13.1
R280,30,8,8,3,5.75
R581,31,28,28,9,8.5
R617,31,8,33,16,13.75
R890,31,32,33,7,12.0
R893,31,32,28,11,14.8
R928,31,33,8,9,12.9
R902,31,2,2,9,9.0
R634,31,8,7,7,9.0
R632,31,32,32,4,9.5
R911,31,41,8,22,28.3
R600,31,8,32,9,12.5
R601,31,76,32,66,63.3
R654,31,76,32,65,63.3
R936,31,22,76,64,43.5
R542,31,2,76,39,35.25
R859,31,32,32,3,4.75
R968,31,8,32,8,7.5
R563,31,14,14,7,6.25
R812,31,32,32,2,4.25
R810,31,8,76,42,48.75
R975,31,32,32,4,5.25
R694,31,3,7,27,20.41
R772,31,3,24,31,22.8
R613,31,32,33,9,11.0
R776,31,8,8,6,9.75
R793,31,28,32,3,4.75
R798,31,32,32,6,8.5
R821,32,28,8,8,7.5
R774,32,8,33,18,16.2
R756,32,28,28,6,7.25
R631,32,28,28,10,13.1
R815,32,33,28,15,15.5
R636,32,17,28,41,34.06
R915,32,32,8,4,5.5
R638,32,6,8,19,17.1
R647,32,32,28,8,7.75
R841,32,32,32,1,3.25
R719,32,76,32,63,59.4
R687,32,32,33,9,17.9
R683,32,28,28,19,13.5
R875,32,8,28,10,7.75
R879,32,8,32,3,4.5
R907,32,3,32,24,17.75
R880,32,1,1,9,10.0
R888,32,8,32,4,7.25
R784,32,32,32,3,5.0
R663,32,32,8,5,5.75
R739,32,32,33,5,10.25
R742,32,28,32,9,10.25
R648,32,32,28,11,10.5
R721,32,8,32,6,9.75
R689,32,77,8,17,26.35
R920,32,28,32,6,5.75
R571,32,28,32,9,8.0
R567,32,33,32,8,10.0
R959,32,6,19,50,28.5
R562,32,28,32,3,5.0
R582,32,35,35,1,3.25
R972,32,4,16,21,13.75
R927,32,28,32,6,9.75
R977,32,8,33,12,20.8
R931,32,6,6,14,18.3
R551,32,28,32,5,6.0
R588,32,7,8,11,13.75
R585,32,8,8,10,9.0
R665,33,7,56,42,43.0
R690,33,32,76,52,49.0
R889,33,32,8,6,8.75
R664,33,28,32,3,4.75
R885,33,8,8,1,3.25
R884,33,32,32,1,3.25
R674,33,8,32,9,8.0
R678,33,28,8,11,12.25
R871,33,73,73,1,2.0
R953,33,3,2,24,15.0
R954,33,6,8,10,12.5
R701,33,7,6,4,5.75
R834,33,8,33,16,15.5
R720,33,6,8,11,16.3
R979,33,32,8,5,7.25
R543,33,8,28,14,13.75
R978,33,8,76,53,51.5
